Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,GP,Team
FN TR8R,571911842,0,0,0,167592,Padme JKA Ahsoka GK GMY
moby,945984121,0,0,0,157415,Padme JKA Ahsoka GK GMY
Mini LoreleiPhoenix7827,176258463,0,0,0,162442,Padme JKA Ahsoka GK GMY
Revanator,226633786,0,0,0,157830,Padme JKA Ahsoka GK GMY
cadeskywalker,724986478,0,0,0,155621,Padme JKA Ahsoka GK GMY
UMakeMeHurl,926246141,0,0,0,159266,Padme JKA Ahsoka GK GMY
LabMonkey,564124574,0,0,0,154114,Padme JKA Ahsoka GK GMY
Vexitron,584136993,0,0,0,154235,Padme JKA Ahsoka GK GMY
Spitfire4xw,696431228,0,0,0,156105,Padme JKA Ahsoka GK GMY
MINI Kamei,915971671,1,0,1,152947,Padme JKA Ahsoka R4 GK GMY
mIRRORMERE,838762166,0,0,0,167870,Padme JKA Ahsoka GK GMY
089,737797193,0,0,0,157847,Padme JKA Ahsoka GK GMY
Leon,784135568,6,0,6,143256,Padme G12 JKA Ahsoka GK GMY
ChameleonX,639981795,0,0,0,160102,Padme JKA Ahsoka GK GMY
GarthOneEye,693794949,0,0,0,161095,Padme JKA Ahsoka GK GMY
DarthPr1mus,384256437,0,0,0,153821,Padme JKA Ahsoka GK GMY
Obi Rod,211337543,0,0,0,165004,Padme JKA Ahsoka GK GMY
Greedy greed0,485932238,0,0,0,157960,Padme JKA Ahsoka GK GMY
Slapshot2626,456567694,0,0,0,157809,Padme JKA Ahsoka GK GMY
LeiaBuns,525429844,0,0,0,149011,Padme JKA Ahsoka GK GMY
Obi one flunker,423459935,0,0,0,150899,Padme JKA Ahsoka GK GMY
LordCedric,988942664,0,0,0,167872,Padme JKA Ahsoka GK GMY
Frijolito,819538235,0,0,0,150233,Padme JKA Ahsoka GK GMY
Dark Blue Shark,184887218,0,0,0,158140,Padme JKA Ahsoka GK GMY
Stormpooper,658989798,0,0,0,158090,Padme JKA Ahsoka GK GMY
Man Uel,642958524,0,0,0,165035,Padme JKA Ahsoka GK GMY
TyloRen,559164599,0,0,0,165399,Padme JKA Ahsoka GK GMY
lίl ZΞRΦ,678833849,0,0,0,165009,Padme JKA Ahsoka GK GMY
NewHope,277246277,0,0,0,162952,Padme JKA Ahsoka GK GMY
SgtArtemi,513346367,0,0,0,157368,Padme JKA Ahsoka GK GMY
MINI Chowbacca,782851421,0,0,0,160363,Padme JKA Ahsoka GK GMY
Elias Lund,569759155,0,0,0,157892,Padme JKA Ahsoka GK GMY
Rampager,391968748,0,0,0,168235,Padme JKA Ahsoka GK GMY
MINI Rainkoon,442432156,0,0,0,164269,Padme JKA Ahsoka GK GMY
vQ Snips,331781822,0,0,0,160634,Padme JKA Ahsoka GK GMY
Fooster,159495267,0,0,0,162997,Padme JKA Ahsoka GK GMY
Clerical Error,149567178,0,0,0,157893,Padme JKA Ahsoka GK GMY
DarkOoba,889672729,0,0,0,157402,Padme JKA Ahsoka GK GMY
Thøl Bøhøn,745429198,0,0,0,162922,Padme JKA Ahsoka GK GMY
Demetrio,352339413,0,0,0,151530,Padme JKA Ahsoka GK GMY
DigDoug,392251498,0,0,0,158602,Padme JKA Ahsoka GK GMY
AwesomeGuy318,791694137,0,0,0,154462,Padme JKA Ahsoka GK GMY
Danius,946519398,0,0,0,153955,Padme JKA Ahsoka GK GMY
DirtyFupa,534635937,0,0,0,167217,Padme JKA Ahsoka GK GMY
LΛRRY,287333749,0,0,0,154978,Padme JKA Ahsoka GK GMY
Black Eagle,766419695,0,0,0,154062,Padme JKA Ahsoka GK GMY
DarthLinkinxr,778169541,0,0,0,151879,Padme JKA Ahsoka GK GMY
Paploo Escobar,529326885,0,0,0,154354,Padme JKA Ahsoka GK GMY
DigMule,788126898,88,0,88,2535,Padme G0 0* JKA G1 4* Ahsoka G1 5* GK G0 0* GMY G0 0*
Pruitt Igoe,281524475,0,0,0,167410,Padme JKA Ahsoka GK GMY
