Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,GP,Team
MINI Vertigo,162795638,0,0,0,148732,Padme JKA Ahsoka GK GMY
Shenan,284374515,0,0,0,147605,Padme JKA Ahsoka GK GMY
Douge Fresh,374765921,0,0,0,160300,Padme JKA Ahsoka GK GMY
OllyQween,267837168,0,0,0,140576,Padme JKA Ahsoka GK GMY
Exile Vex,628696296,6,0,6,143367,Padme G12 JKA Ahsoka GK GMY
Churro,825183536,0,0,0,155400,Padme JKA Ahsoka GK GMY
GhostCappy,589922992,0,0,0,152486,Padme JKA Ahsoka GK GMY
thedudesz,385349641,0,0,0,148674,Padme JKA Ahsoka GK GMY
W5 Dviak,538112955,0,0,0,157385,Padme JKA Ahsoka GK GMY
ThomastheWankEngine,642554734,0,0,0,155923,Padme JKA Ahsoka GK GMY
IronPika,416882975,0,0,0,147714,Padme JKA Ahsoka GK GMY
NΞKΘNΞΧU シ,656655975,0,0,0,155947,Padme JKA Ahsoka GK GMY
Choomba,358678557,0,0,0,145540,Padme JKA Ahsoka GK GMY
Djang0,976784988,0,0,0,153890,Padme JKA Ahsoka GK GMY
dark choice,668319961,0,0,0,144973,Padme JKA Ahsoka GK GMY
ΖΞΧ,957274814,0,0,0,158141,Padme JKA Ahsoka GK GMY
DarthRader,986257863,0,0,0,148969,Padme JKA Ahsoka GK GMY
Sakaradin,596159943,0,0,0,154430,Padme JKA Ahsoka GK GMY
danielooo,859116396,0,0,0,145652,Padme JKA Ahsoka GK GMY
Kick,346486265,0,0,0,148510,Padme JKA Ahsoka GK GMY
Vadodi,341753365,0,0,0,162473,Padme JKA Ahsoka GK GMY
Ju'Ev,887524915,0,0,0,147463,Padme JKA Ahsoka GK GMY
MINI Strategos,889667644,0,0,0,154938,Padme JKA Ahsoka GK GMY
Me,282951537,0,0,0,152796,Padme JKA Ahsoka GK GMY
Frijolito93,685533978,4,0,4,133415,Padme JKA Ahsoka GK GMY R1
Larlagar,696831282,0,0,0,150600,Padme JKA Ahsoka GK GMY
Luna Tuna,661356162,0,0,0,153528,Padme JKA Ahsoka GK GMY
Heathcliff,242813636,0,0,0,146246,Padme JKA Ahsoka GK GMY
DickLickly,815337783,0,0,0,153834,Padme JKA Ahsoka GK GMY
PinkSy Snootles,453561971,0,0,0,150677,Padme JKA Ahsoka GK GMY
Win More,928189196,0,0,0,144154,Padme JKA Ahsoka GK GMY
SolarWarden,221738514,0,0,0,157191,Padme JKA Ahsoka GK GMY
Sandgoat,191343195,0,0,0,154305,Padme JKA Ahsoka GK GMY
Robflat7,364735835,1,0,1,146921,Padme R4 JKA Ahsoka GK GMY
Stormryder,363699387,0,0,0,148363,Padme JKA Ahsoka GK GMY
Macgruber,911786492,5,0,5,132388,Padme R3 JKA Ahsoka R4 GK R4 GMY R4
FrankDaArcher,336862624,6,0,6,142476,Padme G12 JKA Ahsoka GK GMY
HEK3,429258464,0,0,0,157178,Padme JKA Ahsoka GK GMY
Vitess,551746456,0,0,0,145966,Padme JKA Ahsoka GK GMY
BigDustbinlid,582651625,0,0,0,158469,Padme JKA Ahsoka GK GMY
Tiberius,948842412,0,0,0,150289,Padme JKA Ahsoka GK GMY
LoneStar JediPirateKing,151955278,0,0,0,150311,Padme JKA Ahsoka GK GMY
Dhraan,398525527,0,0,0,159820,Padme JKA Ahsoka GK GMY
lyt0506,678332117,0,0,0,157702,Padme JKA Ahsoka GK GMY
Richie,873783647,0,0,0,143504,Padme JKA Ahsoka GK GMY
JubJub,598926799,0,0,0,148896,Padme JKA Ahsoka GK GMY
DooganDäzs,982253347,0,0,0,157287,Padme JKA Ahsoka GK GMY
Mol,726788126,0,0,0,155017,Padme JKA Ahsoka GK GMY
MY SPINACH PUFFS,851124652,4,0,4,144453,Padme R1 JKA Ahsoka GK GMY
