Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
Sandgoat,191343195,0,0,0,Vader+Nute 12%: Vader Nute Thrawn Wat Tambor Traya
Kick,346486265,15,0,15,Vader+Nute 12%: Vader Nute G12 Thrawn G12 Wat Tambor Traya R2
Djang0,976784988,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Admiral Piett
ΖΞΧ,957274814,18,0,18,Vader+Nute 12%: Vader Nute R4 Thrawn G11 Wat Tambor Traya G8
DooganDäzs,982253347,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Admiral Piett
Win More,928189196,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
LoneStar JediPirateKing,151955278,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
Luna Tuna,661356162,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
MINI Vertigo,162795638,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
PinkSy Snootles,453561971,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
DarthRader,986257863,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
Vadodi,341753365,0,0,0,Vader+Nute 12%: Vader Nute Thrawn Wat Tambor Traya
SolarWarden,221738514,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
Tiberius,948842412,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Admiral Piett
Stormryder,363699387,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Admiral Piett
Robflat7,364735835,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
FrankDaArcher,336862624,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Admiral Piett
Frijolito93,685533978,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
IronPika,416882975,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Admiral Piett
GhostCappy,589922992,19,0,19,Vader+Nute 12%: Vader Nute G12 Thrawn G13 Wat Tambor Traya G10
HEK3,429258464,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
MY SPINACH PUFFS,851124652,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
ThomastheWankEngine,642554734,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Admiral Piett
DickLickly,815337783,0,0,0,Vader+Nute 12%: Vader Nute Thrawn Wat Tambor Traya
Macgruber,911786492,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
Heathcliff,242813636,19,0,19,Vader+Nute 12%: Vader Nute G11 Thrawn G12 Wat Tambor Traya G12
dark choice,668319961,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
Choomba,358678557,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
Douge Fresh,374765921,0,0,0,Vader+Nute 12%: Vader Nute Thrawn Wat Tambor Traya
Exile Vex,628696296,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
Shenan,284374515,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Admiral Piett
NΞKΘNΞΧU シ,656655975,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Admiral Piett
OllyQween,267837168,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
danielooo,859116396,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Admiral Piett
Dhraan,398525527,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
Churro,825183536,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Admiral Piett
Me,282951537,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
Sakaradin,596159943,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
JubJub,598926799,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Admiral Piett
Richie,873783647,0,0,0,Vader+Nute 12%: Vader Nute Thrawn Wat Tambor Traya
W5 Dviak,538112955,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
Mol,726788126,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
Larlagar,696831282,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Admiral Piett
BigDustbinlid,582651625,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
lyt0506,678332117,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
thedudesz,385349641,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
MINI Strategos,889667644,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
Vitess,551746456,17,0,17,Vader+Nute 12%: Vader Nute G11 Thrawn Wat Tambor Traya G8
Ju'Ev,887524915,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
